,rd,dd,jm,jme,hm,hme,js,hs
23424,277.50760283716653,-1.887141075460533,18.56790635591826,0.00871782136069241,16.80752003971513,0.005128554136630169,0.98114204,0.98329544
23425,277.40057299154563,-1.8869813598307785,19.56077096468291,0.013989657247815424,17.797620900310832,0.007558317680642496,0.87148523,0.9440447
23426,277.5159411821093,-1.8866832408243293,21.479733443320605,0.0770218747192879,19.672283299602825,0.02725906855478138,0.0036560465,0.018950475
23427,277.5365734466408,-1.8864865289396306,22.285622572959277,0.09396888159759309,20.136699803509075,0.032750707055515214,0.56961906,0.84896517
23428,277.35597972969055,-1.8866534698367667,21.871022200644823,0.09105898963972436,19.906520970501262,0.031939537113706076,0.02415282,0.040550053
23429,277.3649127273461,-1.8869233373530037,21.72488114839873,0.08456933672917512,19.16388524357255,0.020061197662337903,0.10969896,0.7741775
23430,277.5047669507354,-1.8864232831979622,22.137087798179003,0.07427236512127355,20.163852818645793,0.038403843468744654,0.6336617,0.9379415
23431,277.3585941493239,-1.8863295878505475,22.405861830771777,0.10092113895331285,20.592714436687785,0.04588297501754719,0.48618984,0.6828386
23432,277.3742550826885,-1.8868296412069774,21.391985869468066,0.07305212253378061,18.950780995525676,0.02360060810404228,0.12181219,0.6346697
23433,277.3555535689276,-1.8872151081532516,21.5392045736917,0.05518939371616002,18.72179997745927,0.019830192344033475,0.21338268,0.85059893
23434,277.37554898623273,-1.8864974751762524,21.15140817171416,0.039119869997619156,19.227905400432903,0.01642496725303724,0.17596032,0.9645333
23435,277.5069629566128,-1.886403716297901,22.204178786338183,0.07298996249544375,20.281389363445598,0.046440704046081915,0.42324942,0.88173497
23436,277.49430680595344,-1.8864624523405917,21.157666182578417,0.043794946224989514,19.28966344181474,0.019801834263643625,0.29895583,0.9649916
23437,277.5320463260597,-1.886456985322709,21.54736421114287,0.05136644967798798,19.529022343792278,0.021635957892056936,0.80084056,0.91977125
23438,277.49243782851244,-1.8875350166368587,18.5730066061624,0.00859203181978667,16.16008771244462,0.004663681979408447,0.98346204,0.9921132
23439,277.6109301226343,-1.8866685921587123,21.455294585288378,0.056477227410376446,18.204416402019817,0.00860074750414525,0.14417747,0.9584808
23440,277.3010279021138,-1.8870782140789157,20.662114119590136,0.07447637843520626,17.22672475162919,0.012342481498406374,0.924567,0.9833966
23441,277.523378321436,-1.8873642442983045,18.794667220176073,0.008831906430632573,16.80501187626298,0.005014808911440229,0.9809217,0.9987506
23442,277.35933512309214,-1.8862446238732626,22.738196349204394,0.11657591083008756,20.33975995365556,0.03776445690593601,0.48820344,0.92303705
23443,277.3732619700155,-1.886534187989961,21.240502333701464,0.04366496565789915,18.980959065594035,0.015015696567714744,0.41961762,0.95651007
23444,277.49262281222525,-1.886215783291283,21.80607125765166,0.09055076435287773,19.96280110660966,0.03521791575027264,0.5379635,0.96441627
23445,277.5215038995224,-1.8865630081621454,20.891734099448534,0.03938888234691616,18.814720280803996,0.013627864319920906,0.13222983,0.9612165
23446,277.5164538663851,-1.8864116303561778,21.088620162070605,0.043104742624763874,19.082834370769817,0.01791428489785733,0.16660379,0.96336144
23447,277.39322355212084,-1.8866026686657362,20.588639235556933,0.027138107904439494,18.670900471844035,0.012457298033763145,0.706376,0.7773049
23448,277.5230084693302,-1.8863898971956798,21.752955412925097,0.07568413804692943,19.431602605022746,0.021841616918335128,0.56753063,0.497135
23449,277.34091116441994,-1.8864695458084282,21.62131783968291,0.05988616838210039,17.79386914555009,0.007007794422560211,0.7819242,0.98145336
23450,277.53535233266035,-1.8862822081758535,20.905644393027636,0.03279527820841888,18.982774861492473,0.01361140955866458,0.5891037,0.96779627
23451,277.4921112707621,-1.8860761712895968,21.80498025423369,0.06188762204549109,19.372619755901653,0.021193670692314814,0.7390863,0.9433723
23452,277.50548974047376,-1.8860844976099362,21.20787904268584,0.04427601673125965,19.600933201946575,0.025037730201411097,0.73072916,0.95583475
23453,277.51030683443184,-1.8856208600427842,22.331208205283495,0.11478437589641285,21.02068913761552,0.06799902114122405,0.48672614,0.54028237
23454,277.35116954380385,-1.8860163791558273,21.62873170381865,0.06927821620351021,19.512275822796184,0.021544008124666884,0.80619276,0.97069234
23455,277.53774394156727,-1.886007370285197,21.62230203157744,0.06483670145476968,19.694316991009075,0.024554612730428256,0.2057972,0.96777403
23456,277.3644383913042,-1.885960910204219,22.26047799593291,0.09959301440290046,19.846889622845012,0.02927726780644329,0.67572033,0.9153727
23457,277.3586164841206,-1.8858471488383821,21.98965928560576,0.06427150885020887,20.102459080852825,0.033399104116257204,0.07409126,0.5851513
23458,277.36541406194715,-1.8860720216149858,21.18895242220244,0.05741872234275762,18.89580548588212,0.013737248567111584,0.70161426,0.97791016
23459,277.5258068245586,-1.8864231153722484,19.58079049593291,0.013452714900239892,17.422384389080364,0.005805599202935485,0.8681199,0.97526366
23460,277.50761743462624,-1.8859706257497337,21.032059645713183,0.058627403488871375,19.37527669254716,0.021421588207181628,0.70387304,0.97134113
23461,277.4028589060873,-1.885671785385088,21.952572798789355,0.060822742488155196,20.25001920048173,0.03452358680039787,0.69015443,0.8949482
23462,277.3690037185862,-1.885938266471649,21.908024764121386,0.0762364035477037,18.87492955509599,0.013174395574656312,0.6485063,0.97773784
23463,277.6114448694613,-1.886106049586354,21.45797441011748,0.07292049693635043,18.67742169681962,0.012436049380364207,0.071916886,0.9652477
23464,277.5250113433116,-1.885692063014317,22.316784834922167,0.0838288063791326,20.002897389568645,0.03227589478574094,0.1435326,0.043204445
23465,277.5161096823914,-1.8858956601726224,21.590134596885058,0.061979574883258406,19.59342969242509,0.023997874575284708,0.5556861,0.94612014
23466,277.3523672373297,-1.885640102385064,22.4120073080667,0.07516078658020788,20.209089406170207,0.03652642591330385,0.43437278,0.9225942
23467,277.4940145451826,-1.8855483892408231,22.451909041465136,0.11847166178003578,20.353483327068645,0.04395570541736583,0.4963028,0.7971733
23468,277.51849541972877,-1.8861861528083552,20.399500823081347,0.027023815250392297,18.43755925480302,0.012225851586741833,0.6672924,0.66404253
23469,277.50478485845724,-1.885559695084186,21.43054292208037,0.05326795235009169,19.858909733928996,0.03104288245087524,0.71748406,0.9631943
23470,277.3113837611466,-1.8859677057943687,20.255124068320605,0.03814246132300902,17.326118596233684,0.007806956527711456,0.96885264,0.9828269
