,rd,dd,west,weste,wcest,wceste,avest
0,277.4465389075123,-2.251248049883034,0.0,0.0,0.0,0.0,0.0
1,277.4268834187319,-2.2511546055726352,0.0,0.0,0.0,0.0,0.0
2,277.42849226643625,-2.251009401124798,0.0,0.0,0.0,0.0,0.0
3,277.4430535457492,-2.2510282232853767,0.0,0.0,0.0,0.0,0.0
4,277.3901418322964,-2.2509253205225024,0.0,0.0,0.0,0.0,0.0
5,277.51825914411404,-2.250528316048296,0.0,0.0,0.0,0.0,0.0
6,277.5282537205977,-2.2505199556397883,0.0,0.0,0.0,0.0,0.0
7,277.3829975618165,-2.2505756460963697,0.0,0.0,0.0,0.0,0.0
8,277.44167091955455,-2.250692953633603,0.0,0.0,0.0,0.0,0.0
9,277.3817888689658,-2.250680180445202,0.0,0.0,0.0,0.0,0.0
10,277.39135968288326,-2.2506016160879994,0.0,0.0,0.0,0.0,0.0
11,277.43685006303133,-2.2508828106149243,0.0,0.0,0.0,0.0,0.0
12,277.360998305206,-2.2504720379622762,0.0,0.0,0.0,0.0,0.0
13,277.4129336517283,-2.250531706937559,0.0,0.0,0.0,0.0,0.0
14,277.41643879417586,-2.250294255945728,0.0,0.0,0.0,0.0,0.0
15,277.38482689991224,-2.2501839281558746,0.0,0.0,0.0,0.0,0.0
16,277.4263883652476,-2.250773524360225,0.0,0.0,0.0,0.0,0.0
17,277.3900952630395,-2.2501272268409407,0.0,0.0,0.0,0.0,0.0
18,277.3747218994032,-2.25040307470647,0.0,0.0,0.0,0.0,0.0
19,277.4431239119285,-2.2504603788850748,0.0,0.0,0.0,0.0,0.0
20,277.4030338130764,-2.2504439679587342,0.0,0.0,0.0,0.0,0.0
21,277.4557230615508,-2.2501172544961925,0.0,0.0,0.0,0.0,0.0
22,277.4550356348202,-2.2501118853375157,0.0,0.0,0.0,0.0,0.0
23,277.39351162841035,-2.249927151358041,0.0,0.0,0.0,0.0,0.0
24,277.41747989177793,-2.2506244862361573,0.0,0.0,0.0,0.0,0.0
25,277.36434304000215,-2.250062360642609,0.0,0.0,0.0,0.0,0.0
26,277.5582978729128,-2.2499725853107133,0.0,0.0,0.0,0.0,0.0
27,277.5619081483301,-2.2501370446917637,0.0,0.0,0.0,0.0,0.0
28,277.3801711512026,-2.249729084818534,0.0,0.0,0.0,0.0,0.0
29,277.42223443252635,-2.250690893785948,0.0,0.0,0.0,0.0,0.0
30,277.4041930653659,-2.2496800670288426,0.0,0.0,0.0,0.0,0.0
31,277.3692614255657,-2.249938147418617,0.0,0.0,0.0,0.0,0.0
32,277.35874671055683,-2.2498446941285657,0.0,0.0,0.0,0.0,0.0
33,277.5272725308962,-2.249786126466443,0.0,0.0,0.0,0.0,0.0
34,277.41112035735824,-2.249520273626897,0.0,0.0,0.0,0.0,0.0
35,277.43229115977374,-2.249653106019423,0.0,0.0,0.0,0.0,0.0
36,277.4337624610289,-2.2496413535496878,0.0,0.0,0.0,0.0,0.0
37,277.5223399487618,-2.2494153255036764,0.0,0.0,0.0,0.0,0.0
38,277.42484134817187,-2.2502908055349105,15.94675307666191,0.014331551582554888,15.915419630159224,0.012171877433961842,11.225000381469727
39,277.44770502688107,-2.2496988999625103,0.0,0.0,0.0,0.0,0.0
40,277.44310729396557,-2.2496887580537326,0.0,0.0,0.0,0.0,0.0
41,277.42711148630156,-2.249676521206541,0.0,0.0,0.0,0.0,0.0
42,277.42196466612904,-2.2499122448101767,0.0,0.0,0.0,0.0,0.0
43,277.41528336708006,-2.2492972715018213,0.0,0.0,0.0,0.0,0.0
44,277.39027096272844,-2.2494255300625072,0.0,0.0,0.0,0.0,0.0
45,277.52859229307614,-2.2494834164043476,0.0,0.0,0.0,0.0,0.0
46,277.3697536530755,-2.249352270880482,0.0,0.0,0.0,0.0,0.0
47,277.41617350730576,-2.2493308907811933,0.0,0.0,0.0,0.0,0.0
48,277.3882173782374,-2.2491319428524106,0.0,0.0,0.0,0.0,0.0
49,277.5451485590807,-2.249309650567536,0.0,0.0,0.0,0.0,0.0
50,277.38764857181445,-2.249184042886036,0.0,0.0,0.0,0.0,0.0
51,277.42109926958403,-2.2490701974222613,0.0,0.0,0.0,0.0,0.0
52,277.4182840963979,-2.249235789145385,0.0,0.0,0.0,0.0,0.0
53,277.3915840436197,-2.248836174025876,0.0,0.0,0.0,0.0,0.0
54,277.5242582801623,-2.2486961907866583,0.0,0.0,0.0,0.0,0.0
55,277.35604904274504,-2.248736978888564,0.0,0.0,0.0,0.0,0.0
56,277.3672660998407,-2.248632462879086,0.0,0.0,0.0,0.0,0.0
57,277.51930928184805,-2.248543980765038,0.0,0.0,0.0,0.0,0.0
58,277.35433439356655,-2.248856092813544,0.0,0.0,0.0,0.0,0.0
59,277.4358377873158,-2.2486702633827234,0.0,0.0,0.0,0.0,0.0
60,277.56677069401167,-2.2486365174045813,0.0,0.0,0.0,0.0,0.0
61,277.3739144674028,-2.2486860224014564,0.0,0.0,0.0,0.0,0.0
62,277.5561328380454,-2.248317256819681,0.0,0.0,0.0,0.0,0.0
63,277.55753071866366,-2.248567142751203,0.0,0.0,0.0,0.0,0.0
64,277.5199935993164,-2.2483168834538008,0.0,0.0,0.0,0.0,0.0
65,277.53466191041446,-2.2484671274362427,0.0,0.0,0.0,0.0,0.0
66,277.53280750374824,-2.2483625168899715,0.0,0.0,0.0,0.0,0.0
67,277.417630186422,-2.2482751383064477,0.0,0.0,0.0,0.0,0.0
68,277.52545443972633,-2.24939342840561,15.509740616852683,0.008839005782539634,15.453801896149558,0.010023180849668493,18.049999237060547
69,277.4465980082782,-2.2483412640734834,0.0,0.0,0.0,0.0,0.0
70,277.3657415691915,-2.2480242530236287,0.0,0.0,0.0,0.0,0.0
71,277.3905281488161,-2.2487229778135625,0.0,0.0,0.0,0.0,0.0
72,277.5241893084309,-2.2478108552394116,0.0,0.0,0.0,0.0,0.0
73,277.36318034757596,-2.2480873899702125,0.0,0.0,0.0,0.0,0.0
74,277.516660955142,-2.2480944362103723,0.0,0.0,0.0,0.0,0.0
75,277.4273219492678,-2.248257292782397,0.0,0.0,0.0,0.0,0.0
76,277.4069467960522,-2.248245710700729,0.0,0.0,0.0,0.0,0.0
77,277.366374974382,-2.2482380157494557,0.0,0.0,0.0,0.0,0.0
78,277.36045428468327,-2.2479418702303438,0.0,0.0,0.0,0.0,0.0
79,277.4235981282444,-2.2482044244832764,0.0,0.0,0.0,0.0,0.0
80,277.4223142987843,-2.2481828515182523,0.0,0.0,0.0,0.0,0.0
81,277.41623112084153,-2.248071426622721,0.0,0.0,0.0,0.0,0.0
82,277.37147598751903,-2.2476784895177673,0.0,0.0,0.0,0.0,0.0
83,277.5657336201342,-2.247749588710141,0.0,0.0,0.0,0.0,0.0
84,277.3678182049656,-2.247748044268544,0.0,0.0,0.0,0.0,0.0
85,277.37882382469786,-2.24780871842995,0.0,0.0,0.0,0.0,0.0
86,277.373137446225,-2.247799386629106,0.0,0.0,0.0,0.0,0.0
